0,1,mclaren,McLaren,British
1,2,bmw_sauber,BMW_Sauber,German
2,3,williams,Williams,British
3,4,renault,Renault,French
4,5,toro_rosso,Toro_Rosso,Italian
5,6,ferrari,Ferrari,Italian
6,7,toyota,Toyota,Japanese
7,8,super_aguri,Super_Aguri,Japanese
8,9,red_bull,Red_Bull,Austrian
9,10,force_india,Force_India,Indian
10,11,honda,Honda,Japanese
11,12,spyker,Spyker,Dutch
12,13,mf1,MF1,Russian
13,14,spyker_mf1,Spyker_MF1,Dutch
14,15,sauber,Sauber,Swiss
15,16,bar,BAR,British
16,17,jordan,Jordan,Irish
17,18,minardi,Minardi,Italian
18,19,jaguar,Jaguar,British
19,20,prost,Prost,French
20,21,arrows,Arrows,British
21,22,benetton,Benetton,Italian
22,23,brawn,Brawn,British
23,24,stewart,Stewart,British
24,25,tyrrell,Tyrrell,British
25,26,lola,Lola,British
26,27,ligier,Ligier,French
27,28,forti,Forti,Italian
28,29,footwork,Footwork,British
29,30,pacific,Pacific,British
30,31,simtek,Simtek,British
31,32,team_lotus,Team_Lotus,British
32,33,larrousse,Larrousse,French
33,34,brabham,Brabham,British
34,35,dallara,Dallara,Italian
35,36,fondmetal,Fondmetal,Italian
36,37,march,March,British
37,38,moda,Andrea_Moda,Italian
38,39,ags,AGS,French
39,40,lambo,Lambo,Italian
40,41,leyton,Leyton_House,British
41,42,coloni,Coloni,Italian
42,44,eurobrun,Euro_Brun,Italian
43,45,osella,Osella,Italian
44,46,onyx,Onyx,British
45,47,life,Life,Italian
46,48,rial,Rial,German
47,49,zakspeed,Zakspeed,German
48,50,ram,RAM,British
49,51,alfa,Alfa_Romeo,Swiss
50,52,spirit,Spirit,British
51,53,toleman,Toleman,British
52,54,ats,ATS,Italian
53,55,theodore,Theodore,Hong_Kong
54,56,fittipaldi,Fittipaldi,Brazilian
55,57,ensign,Ensign,British
56,58,shadow,Shadow,British
57,59,wolf,Wolf,Canadian
58,60,merzario,Merzario,Italian
59,61,kauhsen,Kauhsen,German
60,62,rebaque,Rebaque,Mexican
61,63,surtees,Surtees,British
62,64,hesketh,Hesketh,British
63,65,martini,Martini,French
