0,1,albert_park,Albert_Park_Grand_Prix_Circuit,Melbourne,Australia
1,2,sepang,Sepang_International_Circuit,Kuala_Lumpur,Malaysia
2,3,bahrain,Bahrain_International_Circuit,Sakhir,Bahrain
3,4,catalunya,Circuit_de_Barcelona-Catalunya,Montmeló,Spain
4,5,istanbul,Istanbul_Park,Istanbul,Turkey
5,6,monaco,Circuit_de_Monaco,Monte-Carlo,Monaco
6,7,villeneuve,Circuit_Gilles_Villeneuve,Montreal,Canada
7,8,magny_cours,Circuit_de_Nevers_Magny-Cours,Magny_Cours,France
8,9,silverstone,Silverstone_Circuit,Silverstone,UK
9,10,hockenheimring,Hockenheimring,Hockenheim,Germany
10,11,hungaroring,Hungaroring,Budapest,Hungary
11,12,valencia,Valencia_Street_Circuit,Valencia,Spain
12,13,spa,Circuit_de_Spa-Francorchamps,Spa,Belgium
13,14,monza,Autodromo_Nazionale_di_Monza,Monza,Italy
14,15,marina_bay,Marina_Bay_Street_Circuit,Marina_Bay,Singapore
15,16,fuji,Fuji_Speedway,Oyama,Japan
16,17,shanghai,Shanghai_International_Circuit,Shanghai,China
17,18,interlagos,Autódromo_José_Carlos_Pace,São_Paulo,Brazil
18,19,indianapolis,Indianapolis_Motor_Speedway,Indianapolis,USA
19,20,nurburgring,Nürburgring,Nürburg,Germany
20,21,imola,Autodromo_Enzo_e_Dino_Ferrari,Imola,Italy
21,22,suzuka,Suzuka_Circuit,Suzuka,Japan
22,80,vegas,Las_Vegas_Strip_Street_Circuit,Las_Vegas,United_States
23,24,yas_marina,Yas_Marina_Circuit,Abu_Dhabi,UAE
24,25,galvez,Autódromo_Juan_y_Oscar_Gálvez,Buenos_Aires,Argentina
25,26,jerez,Circuito_de_Jerez,Jerez_de_la_Frontera,Spain
26,27,estoril,Autódromo_do_Estoril,Estoril,Portugal
27,28,okayama,Okayama_International_Circuit,Okayama,Japan
28,29,adelaide,Adelaide_Street_Circuit,Adelaide,Australia
29,30,kyalami,Kyalami,Midrand,South_Africa
30,31,donington,Donington_Park,Castle_Donington,UK
31,32,rodriguez,Autódromo_Hermanos_Rodríguez,Mexico_City,Mexico
32,33,phoenix,Phoenix_street_circuit,Phoenix,USA
33,34,ricard,Circuit_Paul_Ricard,Le_Castellet,France
34,35,yeongam,Korean_International_Circuit,Yeongam_County,Korea
35,36,jacarepagua,Autódromo_Internacional_Nelson_Piquet,Rio_de_Janeiro,Brazil
36,37,detroit,Detroit_Street_Circuit,Detroit,USA
37,38,brands_hatch,Brands_Hatch,Kent,UK
38,39,zandvoort,Circuit_Park_Zandvoort,Zandvoort,Netherlands
39,40,zolder,Zolder,Heusden-Zolder,Belgium
40,41,dijon,Dijon-Prenois,Dijon,France
41,42,dallas,Fair_Park,Dallas,USA
42,43,long_beach,Long_Beach,California,USA
43,44,las_vegas,Las_Vegas_Street_Circuit,Nevada,USA
44,45,jarama,Jarama,Madrid,Spain
45,46,watkins_glen,Watkins_Glen,New_York_State,USA
46,47,anderstorp,Scandinavian_Raceway,Anderstorp,Sweden
47,48,mosport,Mosport_International_Raceway,Ontario,Canada
48,49,montjuic,Montjuïc,Barcelona,Spain
49,50,nivelles,Nivelles-Baulers,Brussels,Belgium
50,51,charade,Charade_Circuit,Clermont-Ferrand,France
51,52,tremblant,Circuit_Mont-Tremblant,Quebec,Canada
52,53,essarts,Rouen-Les-Essarts,Rouen,France
53,54,lemans,Le_Mans,Le_Mans,France
54,55,reims,Reims-Gueux,Reims,France
55,56,george,Prince_George_Circuit,Eastern_Cape_Province,South_Africa
56,57,zeltweg,Zeltweg,Styria,Austria
57,58,aintree,Aintree,Liverpool,UK
58,59,boavista,Circuito_da_Boavista,Oporto,Portugal
59,60,riverside,Riverside_International_Raceway,California,USA
60,61,avus,AVUS,Berlin,Germany
61,62,monsanto,Monsanto_Park_Circuit,Lisbon,Portugal
62,63,sebring,Sebring_International_Raceway,Florida,USA
63,64,ain-diab,Ain_Diab,Casablanca,Morocco
