512,13802,44,9,22.0,6,6,0
513,13801,44,26,0.0,19,19,0
514,13800,44,25,8.0,9,9,0
515,13799,44,16,0.0,21,21,0
516,13798,44,19,0.0,20,20,0
517,13797,44,18,1.0,16,16,0
518,13796,44,24,0.0,23,23,0
519,13795,44,17,2.0,14,14,0
520,13794,44,11,4.0,13,13,0
521,13792,44,5,14.0,8,8,0
522,13790,44,23,2.0,15,15,0
523,13789,44,3,5.0,11,11,0
524,13787,44,21,17.0,7,7,0
525,13784,44,4,58.0,2,2,2
526,13828,45,20,1.0,17,17,0
527,13827,45,14,8.0,11,11,0
528,13826,45,27,0.0,22,22,0
529,13825,45,9,24.0,6,6,0
530,13824,45,26,0.0,19,19,0
531,13823,45,25,13.0,9,9,0
532,13822,45,16,0.0,21,21,0
533,13821,45,19,0.0,20,20,0
534,13820,45,18,1.0,16,16,0
535,13819,45,24,0.0,23,23,0
536,13818,45,17,8.0,10,10,0
537,13817,45,11,4.0,14,14,0
538,13816,45,22,0.0,18,18,0
539,13815,45,5,15.0,8,8,0
540,13814,45,15,7.0,12,12,0
541,13813,45,23,2.0,15,15,0
542,13811,45,13,59.0,3,3,2
543,13809,45,2,36.0,5,5,0
544,13832,46,2,42.0,5,5,0
545,13851,46,20,1.0,17,17,0
546,13850,46,14,8.0,11,11,0
547,13849,46,27,0.0,22,22,0
548,13848,46,9,28.0,6,6,0
549,13847,46,26,0.0,19,19,0
550,13846,46,25,13.0,9,9,0
551,13845,46,16,0.0,21,21,0
552,13844,46,19,0.0,20,20,0
553,13843,46,18,1.0,16,16,0
554,13842,46,24,0.0,23,23,0
555,13841,46,17,8.0,10,10,0
556,13840,46,11,4.0,15,15,0
557,13838,46,5,16.0,8,8,0
558,13837,46,15,7.0,13,13,0
559,13836,46,23,5.0,14,14,0
560,13835,46,3,7.0,12,12,0
561,13833,46,21,17.0,7,7,0
562,13830,46,4,73.0,2,2,3
563,13856,47,21,17.0,8,8,0
564,13875,47,29,0.0,24,24,0
565,13874,47,20,1.0,17,17,0
566,13873,47,14,8.0,12,12,0
567,13872,47,27,0.0,22,22,0
568,13871,47,9,29.0,6,6,0
569,13870,47,26,0.0,19,19,0
570,13869,47,25,13.0,9,9,0
571,13868,47,16,0.0,21,21,0
572,13867,47,19,0.0,20,20,0
573,13866,47,18,1.0,16,16,0
574,13865,47,24,0.0,23,23,0
575,13864,47,17,8.0,11,11,0
